DOBEC	OBEC	OKRES	PSC	DPOSTA	POSTA	KOD_OKR	KRAJ	
Ábelová	Ábelová	Lučenec	985 13	Ábelová	Ábelová	606	BC	
Abovce	Abovce	Rimavská Sobota	980 44	Lenartovce	Lenartovce	609	BC	
Abrahám	Abrahám	Galanta	925 45	Abrahám	Abrahám	202	TA	
Abrahámovce	Abrahámovce	Bardejov	086 41	Raslavice	Raslavice	701	PV	
Abrahámovce	Abrahámovce	Kežmarok	059 72	Vrbov	Vrbov	703	PV	
Abramová	Abramová	Turčianske Teplice	038 22	Slovenské Pravno	Slovenské Pravno	509	ZI	
Abranovce	Abranovce	Prešov	082 52	Kokošovce	Kokošovce	707	PV	
Adamovské Kochanovce	Adamovské Kochanovce	Trenčín	913 05	Melčice-Lieskové	Melčice-Lieskové	309	TC	
Adidovce	Adidovce	Humenné	067 32	Vyšný Hrušov	Vyšný Hrušov	702	PV	
Albínov	Albínov	Trebišov	078 01	Sečovce	Sečovce	811	KI	
Alekšince	Alekšince	Nitra	951 22	Alekšince	Alekšince	403	NI	
Alexandrov Dvor	Alexandrov Dvor	Nitra	951 34	Báb	Báb	403	NI	
Alžbetin Dvor	Alžbetin Dvor	Senec	900 42	Dunajská Lužná	Dunajská Lužná	108	BL	
Amadeho Kračany	Amadeho Kračany	Dunajská Streda	930 03	Kráľovičove Kračany	Kráľovičove Kračany	201	TA	
Aňala	Aňala	Komárno	946 51	Nesvady	Nesvady	401	NI	
Aňalské Záhrady	Aňalské Záhrady	Komárno	946 51	Nesvady	Nesvady	401	NI	
Andač	Andač	Nitra	951 42	Zbehy	Zbehy	403	NI	
Andice	Andice	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Andovce	Andovce	Nové Zámky	941 23	Andovce	Andovce	404	NI	
Andrejová	Andrejová	Bardejov	086 37	Šarišské Čierne	Šarišské Čierne	701	PV	
Andrejovka	Andrejovka	Stará Ľubovňa	065 43	Orlov nad Popradom	Orlov nad Popradom	710	PV	
Arad	Arad	Nové Zámky	943 42	Gbelce	Gbelce	404	NI	
Ardanovce	Ardanovce	Topoľčany	956 06	Šalgovce	Šalgovce	406	NI	
Ardovo	Ardovo	Rožňava	049 55	Dlhá Ves	Dlhá Ves	808	KI	
Arma	Arma	Levice	935 41	Tekovské Lužany	Tekovské Lužany	402	NI	
Arnutovce	Arnutovce	Spišská Nová Ves	053 13	Letanovce	Letanovce	810	KI	
Báb	Báb	Nitra	951 34	Báb	Báb	403	NI	
Babie	Babie	Vranov nad Topľou	094 31	Hanušovce nad Topľou	Hanušovce nad Topľou	713	PV	
Babín	Babín	Námestovo	029 52	Hruštín	Hruštín	507	ZI	
Babin Potok	Babin Potok	Prešov	082 67	Terňa	Terňa	707	PV	
Babiná	Babiná	Zvolen	962 61	Dobrá Niva	Dobrá Niva	611	BC	
Babindol	Babindol	Nitra	951 53	Klasov	Klasov	403	NI	
Babinec	Babinec	Rimavská Sobota	980 26	Lukovištia	Lukovištia	609	BC	
Babiše	Babiše	Bytča	013 54	Kolárovice	Kolárovice	501	ZI	
Babkov	Babkov	Žilina	013 11	Lietavská Lúčka	Lietavská Lúčka	511	ZI	
Babulicov Vrch	Babulicov Vrch	Myjava	916 13	Kostolné	Kostolné	303	TC	
Bacúch	Bacúch	Brezno	976 64	Beňuš	Beňuš	603	BC	
Bacúrov	Bacúrov	Zvolen	962 61	Dobrá Niva	Dobrá Niva	611	BC	
Báč	Báč	Dunajská Streda	930 30	Rohovce	Rohovce	201	TA	
Bačala	Bačala	Nitra	951 15	Mojmírovce	Mojmírovce	403	NI	
Bačka	Bačka	Trebišov	076 84	Leles	Leles	811	KI	
Bačkov	Bačkov	Trebišov	076 61	Bačkov	Bačkov	811	KI	
Bačkovík	Bačkovík	Košice-okolie	044 45	Bidovce	Bidovce	806	KI	
Báčovce	Báčovce	Krupina	962 68	Hontianske Tesáre	Hontianske Tesáre	605	BC	
Baďan	Baďan	Banská Štiavnica	969 01	Banská Štiavnica 1	Banská Štiavnica 1	602	BC	
Bádice	Bádice	Nitra	951 46	Podhorany pri Nitre	Podhorany pri Nitre	403	NI	
Badín	Badín	Banská Bystrica	976 32	Badín	Badín	601	BC	
Báhoň	Báhoň	Pezinok	900 84	Báhoň	Báhoň	107	BL	
Bajany	Bajany	Michalovce	072 54	Lekárovce	Lekárovce	807	KI	
Bajč	Bajč	Komárno	946 54	Bajč	Bajč	401	NI	
Bajerov	Bajerov	Prešov	082 41	Bajerov	Bajerov	707	PV	
Bajerovce	Bajerovce	Sabinov	082 73	Šarišské Dravce	Šarišské Dravce	708	PV	
Bajka	Bajka	Levice	935 51	Tekovský Hrádok	Tekovský Hrádok	402	NI	
Bajtava	Bajtava	Nové Zámky	943 65	Kamenica nad Hronom	Kamenica nad Hronom	404	NI	
Baka	Baka	Dunajská Streda	930 04	Baka	Baka	201	TA	
Bakta	Bakta	Rimavská Sobota	979 01	Rimavská Sobota 1	Rimavská Sobota 1	609	BC	
Baláže	Baláže	Banská Bystrica	976 11	Selce pri Banskej Bystrici	Selce pri B.Bystrici	601	BC	
Baldovce	Baldovce	Levoča	053 04	Spišské Podhradie	Spišské Podhradie	704	PV	
Balog nad Ipľom	Balog nad Ipľom	Veľký Krtíš	991 11	Balog nad Ipľom	Balog nad Ipľom	610	BC	
Baloň	Baloň	Dunajská Streda	930 08	Čiližská Radvaň	Čiližská Radvaň	201	TA	
Balvany	Balvany	Komárno	946 01	Kameničná pri Komárne	Kameničná pri Komár.	401	NI	
Baňa	Baňa	Stropkov	091 01	Stropkov	Stropkov	711	PV	
Baňa Lucia	Baňa Lucia	Košice-okolie	044 25	Medzev	Medzev	806	KI	
Banka	Banka	Piešťany	921 01	Piešťany 1	Piešťany 1	204	TA	
Banky	Banky	Banská Štiavnica	969 01	Banská Štiavnica 1	Banská Štiavnica 1	602	BC	
Banky	Banky	Prievidza	972 25	Diviaky nad Nitricou	Diviaky nad Nitricou	307	TC	
Bánov	Bánov	Nové Zámky	941 01	Bánov pri Nových Zámkoch	Bánov pri N.Zámkoch	404	NI	
Bánová	Bánová	Žilina	010 04	Žilina 4	Žilina 4	511	ZI	
Bánovce nad Bebravou	Bánovce nad Bebravou	Bánovce nad Bebravou			Pozri zoz.ulíc s PSČ	301	TC	
Bánovce nad Ondavou	Bánovce nad Ondavou	Michalovce	072 04	Trhovište	Trhovište	807	KI	
Banská	Banská	Prievidza	972 48	Horná Ves	Horná Ves	307	TC	
Banská Belá	Banská Belá	Banská Štiavnica	966 15	Banská Belá	Banská Belá	602	BC	
Banská Bystrica	Banská Bystrica	Banská Bystrica			Pozri zoz.ulíc s PSČ	601	BC	
Banská Hodruša	Banská Hodruša	Žarnovica	966 63	Hodruša - Hámre 1	Hodruša - Hámre 1	612	BC	
Banská Štiavnica	Banská Štiavnica	Banská Štiavnica			Pozri zoz.ulíc s PSČ	602	BC	
Banské	Banské	Vranov nad Topľou	094 12	Vechec	Vechec	713	PV	
Banský Studenec	Banský Studenec	Banská Štiavnica	969 01	Banská Štiavnica 1	Banská Štiavnica 1	602	BC	
Bara	Bara	Trebišov	076 32	Borša	Borša	811	KI	
Barca	Barca	Rimavská Sobota	982 51	Figa	Figa	609	BC	
Bardejov	Bardejov	Bardejov	085 01	Bardejov 1	Bardejov 1	701	PV	
Bardejovská Nová Ves	Bardejovská Nová Ves	Bardejov	085 01	Bardejov 1	Bardejov 1	701	PV	
Bardejovská Zábava	Bardejovská Zábava	Bardejov	085 01	Bardejov 1	Bardejov 1	701	PV	
Bardejovské Kúpele	Bardejovské Kúpele	Bardejov	086 31	Bardejovské kúpele	Bardejovské kúpele	701	PV	
Bardoňovo	Bardoňovo	Nové Zámky	941 49	Bardoňovo	Bardoňovo	404	NI	
Bartošova Lehôtka	Bartošova Lehôtka	Žiar nad Hronom	967 01	Kremnica 1	Kremnica 1	613	BC	
Bartošovce	Bartošovce	Bardejov	086 42	Hertník	Hertník	701	PV	
Baška	Baška	Košice-okolie	040 16	Košice 16	Košice 16	806	KI	
Baškovce	Baškovce	Humenné	067 23	Baškovce pri Humennom	Baškovce pri Humen.	702	PV	
Baškovce	Baškovce	Sobrance	073 01	Sobrance	Sobrance	809	KI	
Bašovce	Bašovce	Piešťany	922 01	Ostrov pri Piešťanoch	Ostrov pri Piešťan.	204	TA	
Baštín	Baštín	Partizánske	956 18	Bošany	Bošany	305	TC	
Batizovce	Batizovce	Poprad	059 35	Batizovce	Batizovce	706	PV	
Bátka	Bátka	Rimavská Sobota	980 21	Bátka	Bátka	609	BC	
Bátorová	Bátorová	Veľký Krtíš	991 26	Nenince	Nenince	610	BC	
Bátorove Kosihy	Bátorove Kosihy	Komárno	946 34	Bátorove Kosihy	Bátorove Kosihy	401	NI	
Bátovce	Bátovce	Levice	935 03	Bátovce	Bátovce	402	NI	
Beckov	Beckov	Nové Mesto n.Váhom	916 38	Beckov	Beckov	304	TC	
Beckovská Vieska	Beckovská Vieska	Nové Mesto n.Váhom	916 31	Kočovce	Kočovce	304	TC	
Bečov	Bečov	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Beharovce	Beharovce	Levoča	053 05	Beharovce	Beharovce	704	PV	
Behynce	Behynce	Revúca	982 01	Tornaľa	Tornaľa	608	BC	
Behynce	Behynce	Topoľčany	956 07	Veľké Ripňany	Veľké Ripňany	406	NI	
Becherov	Becherov	Bardejov	086 35	Becherov	Becherov	701	PV	
Beketfa	Beketfa	Dunajská Streda	930 34	Holice na Ostrove	Holice na Ostrove	201	TA	
Belá	Belá	Žilina	013 05	Belá pri Varíne	Belá pri Varíne	511	ZI	
Belá	Belá	Nové Zámky	943 53	Ľubá	Ľubá	404	NI	
Belá - Dulice	Belá - Dulice	Martin	038 11	Belá pri Martine	Belá pri Martine	506	ZI	
Belá nad Cirochou	Belá nad Cirochou	Snina	067 81	Belá nad Cirochou	Belá nad Cirochou	709	PV	
Beladice	Beladice	Zlaté Moravce	951 75	Beladice	Beladice	407	NI	
Belejov	Belejov	Považská Bystrica	018 03	Horná Mariková	Horná Mariková	306	TC	
Belejovce	Belejovce	Svidník	089 01	Svidník	Svidník	712	PV	
Belek	Belek	Nové Zámky	941 48	Podhájska	Podhájska	404	NI	
Belín	Belín	Rimavská Sobota	980 01	Rimavské Janovce	Rimavské Janovce	609	BC	
Belina	Belina	Lučenec	986 01	Fiľakovo	Fiľakovo	606	BC	
Belince	Belince	Topoľčany	956 12	Preseľany	Preseľany	406	NI	
Bellova Ves	Bellova Ves	Dunajská Streda	930 52	Blahová	Blahová	201	TA	
Beloveža	Beloveža	Bardejov	086 14	Hažlín	Hažlín	701	PV	
Beluj	Beluj	Banská Štiavnica	969 01	Banská Štiavnica 1	Banská Štiavnica 1	602	BC	
Beluša	Beluša	Púchov	018 61	Beluša	Beluša	308	TC	
Belža	Belža	Košice-okolie	044 58	Seňa	Seňa	806	KI	
Beňadiková	Beňadiková	Liptovský Mikuláš	032 04	Liptovský Ondrej	Liptovský Ondrej	505	ZI	
Beňadikovce	Beňadikovce	Svidník	090 42	Okruhlé	Okruhlé	712	PV	
Beňadovo	Beňadovo	Námestovo	029 63	Mútne	Mútne	507	ZI	
Beňatina	Beňatina	Sobrance	072 64	Podhoroď	Podhoroď	809	KI	
Beniakovce	Beniakovce	Košice-okolie	044 42	Rozhanovce	Rozhanovce	806	KI	
Benice	Benice	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Benice	Benice	Martin	038 42	Príbovce	Príbovce	506	ZI	
Benkova Potôň	Benkova Potôň	Dunajská Streda	930 36	Horná Potôň	Horná Potôň	201	TA	
Benkovce	Benkovce	Vranov nad Topľou	094 02	Slovenská Kajňa	Slovenská Kajňa	713	PV	
Beňov	Beňov	Bytča	014 01	Bytča 1	Bytča 1	501	ZI	
Beňova Lehota	Beňova Lehota	Dolný Kubín	026 01	Dolný Kubín 1	Dolný Kubín 1	503	ZI	
Beňuš	Beňuš	Brezno	976 64	Beňuš	Beňuš	603	BC	
Beňušovce	Beňušovce	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Bernátovce	Bernátovce	Košice-okolie	044 13	Valaliky	Valaliky	806	KI	
Bernolákovo	Bernolákovo	Senec	900 27	Bernolákovo	Bernolákovo	108	BL	
Bertotovce	Bertotovce	Prešov	082 35	Hendrichovce	Hendrichovce	707	PV	
Besné	Besné	Považská Bystrica	018 02	Dolná Mariková	Dolná Mariková	306	TC	
Beša	Beša	Levice	935 36	Beša	Beša	402	NI	
Beša	Beša	Michalovce	076 72	Vojany	Vojany	807	KI	
Bešeňov	Bešeňov	Nové Zámky	941 41	Bešeňov	Bešeňov	404	NI	
Bešeňová	Bešeňová	Ružomberok	034 83	Liptovská Teplá	Liptovská Teplá	508	ZI	
Betlanovce	Betlanovce	Spišská Nová Ves	053 15	Hrabušice	Hrabušice	810	KI	
Betlenovce	Betlenovce	Michalovce	071 01	Michalovce 1	Michalovce 1	807	KI	
Betliar	Betliar	Rožňava	049 21	Betliar	Betliar	808	KI	
Bezdedov - Vieska	Bezdedov - Vieska	Púchov	020 01	Púchov 1	Púchov 1	308	TC	
Bežovce	Bežovce	Sobrance	072 53	Bežovce	Bežovce	809	KI	
Bidovce	Bidovce	Košice-okolie	044 45	Bidovce	Bidovce	806	KI	
Biel	Biel	Trebišov	076 41	Biel	Biel	811	KI	
Biela	Biela	Dolný Kubín	027 05	Zázrivá	Zázrivá	503	ZI	
Biela Voda	Biela Voda	Prievidza	972 29	Čavoj	Čavoj	307	TC	
Biele Vody	Biele Vody	Brezno	976 53	Lom nad Rimavicou	Lom nad Rimavicou	603	BC	
Biele Vody	Biele Vody	Spišská Nová Ves	053 76	Mlynky	Mlynky	810	KI	
Bielovce	Bielovce	Levice	935 74	Pastovce	Pastovce	402	NI	
Biely Kostol	Biely Kostol	Trnava	919 34	Biely Kostol	Biely Kostol	207	TA	
Biely Potok	Biely Potok	Ružomberok	034 03	Ružomberok 3	Ružomberok 3	508	ZI	
Bijacovce	Bijacovce	Levoča	053 06	Bijacovce	Bijacovce	704	PV	
Bílkove Humence	Bílkove Humence	Senica	908 77	Borský Mikuláš	Borský Mikuláš	205	TA	
Bíňa	Bíňa	Nové Zámky	943 56	Bíňa	Bíňa	404	NI	
Bindt	Bindt	Spišská Nová Ves	053 32	Hnilčík	Hnilčík	810	KI	
Bíňovce	Bíňovce	Trnava	919 07	Bíňovce	Bíňovce	207	TA	
Biskupice	Biskupice	Bánovce nad Bebravou	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1	301	TC	
Biskupice	Biskupice	Lučenec	986 01	Fiľakovo	Fiľakovo	606	BC	
Biskupice	Biskupice	Trenčín	911 01	Trenčín 1	Trenčín 1	309	TC	
Biskupová	Biskupová	Topoľčany	956 07	Veľké Ripňany	Veľké Ripňany	406	NI	
Bitarová	Bitarová	Žilina	010 04	Žilina 4	Žilina 4	511	ZI	
Blahová	Blahová	Dunajská Streda	930 52	Blahová	Blahová	201	TA	
Blatná na Ostrove	Blatná na Ostrove	Dunajská Streda	930 32	Blatná na Ostrove	Blatná na Ostrove	201	TA	
Blatná Polianka	Blatná Polianka	Sobrance	072 44	Blatné Remety	Blatné Remety	809	KI	
Blatné	Blatné	Senec	900 82	Blatné pri Senci	Blatné pri Senci	108	BL	
Blatné Remety	Blatné Remety	Sobrance	072 44	Blatné Remety	Blatné Remety	809	KI	
Blatné Revištia	Blatné Revištia	Sobrance	072 43	Veľké Revištia	Veľké Revištia	809	KI	
Blatnica	Blatnica	Martin	038 15	Blatnica pri Martine	Blatnica pri Martine	506	ZI	
Blažice	Blažice	Košice-okolie	044 16	Bohdanovce pri Košiciach	Bohdanovce pri Koš.	806	KI	
Blažkov	Blažkov	Čadca	023 02	Krásno nad Kysucou	Krásno nad Kysucou	502	ZI	
Blažková	Blažková	Čadca	023 11	Zákopčie	Zákopčie	502	ZI	
Blažovce	Blažovce	Turčianske Teplice	038 44	Jazernica	Jazernica	509	ZI	
Blesovce	Blesovce	Topoľčany	956 01	Bojná	Bojná	406	NI	
Blhovce	Blhovce	Rimavská Sobota	980 32	Blhovce	Blhovce	609	BC	
Bobot	Bobot	Trenčín	913 25	Bobot	Bobot	309	TC	
Bobotská Lehota	Bobotská Lehota	Trenčín	913 25	Bobot	Bobot	309	TC	
Bobrov	Bobrov	Námestovo	029 42	Bobrov	Bobrov	507	ZI	
Bobrovček	Bobrovček	Liptovský Mikuláš	032 21	Bobrovec	Bobrovec	505	ZI	
Bobrovec	Bobrovec	Liptovský Mikuláš	032 21	Bobrovec	Bobrovec	505	ZI	
Bobrovník	Bobrovník	Liptovský Mikuláš	032 23	Liptovská Sielnica	Liptovská Sielnica	505	ZI	
Bočiar	Bočiar	Košice-okolie	044 57	Haniska	Haniska	806	KI	
Bodice	Bodice	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Bodíky	Bodíky	Dunajská Streda	930 31	Vojka nad Dunajom	Vojka nad Dunajom	201	TA	
Bodiná	Bodiná	Považská Bystrica	018 15	Prečín	Prečín	306	TC	
Bodok	Bodok	Topoľčany	956 08	Horné Obdokovce	Horné Obdokovce	406	NI	
Bodorová	Bodorová	Turčianske Teplice	038 45	Malý Čepčín	Malý Čepčín	509	ZI	
Bodov	Bodov	Senec	903 01	Senec	Senec	108	BL	
Bodovce	Bodovce	Sabinov	082 66	Uzovce	Uzovce	708	PV	
Bodovka - Krivosúd	Bodovka - Krivosúd	Trenčín	913 11	Trenčianske Stankovce	Trenč.Stankovce	309	TC	
Bodružal	Bodružal	Svidník	090 05	Krajná Poľana	Krajná Poľana	712	PV	
Bodza	Bodza	Komárno	946 16	Bodza	Bodza	401	NI	
Bodzianske Lúky	Bodzianske Lúky	Komárno	946 14	Zemianska Olča	Zemianska Olča	401	NI	
Bogliarka	Bogliarka	Bardejov	086 04	Kružlov	Kružlov	701	PV	
Bohatá	Bohatá	Komárno	947 03	Hurbanovo 3	Hurbanovo 3	401	NI	
Bohdanovce	Bohdanovce	Košice-okolie	044 16	Bohdanovce pri Košiciach	Bohdanovce pri Koš.	806	KI	
