DULICA	ULICA	PSC	DPOSTA	POSTA	POZNAMKA	OBCE
5. apríla	5. apríla	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
9. mája	9. mája	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Alexandra Dubčeka	Alexandra Dubčeka	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Andreja Hlinku	Andreja Hlinku	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Andreja Kmeťa	Andreja Kmeťa	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Bernolákova	Bernolákova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Cibislavská	Cibislavská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Cintorínska	Cintorínska	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Clementisova	Clementisova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Cyrila a Metoda	Cyrila a Metoda	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Družstevná	Družstevná	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Duklianska	Duklianska	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Farská	Farská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Ferka Urbánka	Ferka Urbánka	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Gorazdova	Gorazdova	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Hečkova	Hečkova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Hollého	Hollého	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Hrežďovská	Hrežďovská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Hronského	Hronského	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Husitská	Husitská	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Hviezdoslavova	Hviezdoslavova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Inovecká	Inovecká	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
