kraj	okres	obec	ulica	cislo	psc	posta	predvolba	telefon	fax	web	email	starosta	primator	prednosta	ico	pocetobyvatelov	rozloha	ppz	mobil	urad
Trenčiansky	Bánovce nad Bebravou	Uhrovské Podhradie	Uhrovské Podhradie	20	956 42 	Žitná-Radiša 	038	769 44 19				Ing. Milan Miškerík			00800121	38	1252	1481		Obecný úrad
Prešovský	Bardejov	Abrahámovce		26	086 41	Raslavice	054	479 22 25			obecabrahamovce@amdsl.sk, starosta@abrahamovce-bj.sk	MVDr. Ján Novotný			00321826	364	590	1427	0904 936 840	Obecný úrad
Prešovský	Bardejov	Bogliarka		33	086 04	Kružlov	054	479 32 57				Jozef Pavličko			00321885	130	939	1454		Obecný úrad
Prešovský	Bardejov	Jedlinka	Jedlinka	34	086 36	Nižná Polianka	054	479 91 47		www.obecjedlinka.szm.sk	obec.jedlinka@gmail.com	Anna Guzyová			00322091	75	456	1567		Obecný úrad
Prešovský	Bardejov	Lipová		30	086 12	Kurima	054	739 12 23			obecnyurad.lipova@gmail.com	Dušan Čura			00322288	73	392	1567		Obecný úrad
Prešovský	Bardejov	Livovská Huta		33	086 05	Lukov	054	476 62 02				Helena Frandoferová			00322300	53	1422	1773		Obecný úrad
Prešovský	Bardejov	Ondavka	Ondavka		086 36	Nižná Polianka	054	479 91 70				Andrej Marčišin			00322466	20	347	1618		Obecný úrad
Prešovský	Humenné	Nechválova Polianka		12	067 33 	Papín	057	788 03 33,779 81 22 		www.nechvalovapolianka.sk	obecnechvalovapolianka@gmail.com	Vladimír Megela			00323284	102	1273	1547		Obecný úrad
Prešovský	Kežmarok	Havka		21	061 01 	Spišská Stará Ves	052	489 21 67				Pavol Jabrocký			00696048	41	601	1337	0903 728 680	Obecný úrad
Prešovský	Kežmarok	Javorina			059 56	Javorina	052				obecnyurad@tjavorina.eu						31624			Vojenský obvod
Prešovský	Kežmarok	Zálesie		13	059 04 	Spišské Hanušovce	052	489 21 43	489 21 43		obeczalesie@mail.t-com.sk	Martin Klimek			00696315	82	479	1520	0902 896 648	Obecný úrad
Banskobystrický	Krupina	Selce	Selce	1	962 51	Čabradský Vrbovok	045	559 71 63			ouselce@selce.sk 	Mária Šulcová			00647641	105	513	1303		Obecný úrad
Banskobystrický	Krupina	Sudince	Sudince	27	962 69	Lišov	045	558 91 16 	559 38 16		obecsudince@zoznam.sk	Daniela Šinková  			00649091	79	409	1245	0908 499 900	Obecný úrad
Banskobystrický	Krupina	Žibritov	Žibritov	12	963 01	Krupina	045	551 14 75	551 14 75			Dušan Laco			00649317	68	996	1266		Obecný úrad
Prešovský	Levoča	Harakovce	Harakovce	13	053 05	Behárovce	053	459 62 49 				Božena Cmorejová			17083087	69	527	1272		Obecný úrad
Prešovský	Medzilaborce	Valentovce		17	067 01 	Radvaň nad Laborcom	057	739 71 25				Michal Firkaľ			00323713	35	221	1808	0903 214 766,0915 554 893	Obecný úrad
Banskobystrický	Poltár	Ďubákovo	Ďubákovo	45	985 07	Šoltýska	047	429 57 22 		www.dubakovo.com	starosta@soltyska.sk	Miroslav Škrabák			00649112	92	639	1553		Obecný úrad
Banskobystrický	Poltár	Selce	Selce	1	980 13	Hrnčiarska Ves	047	567 41 09 	567 41 09 			Vladimír Bodnár  			00649627	116	2440	1303		Obecný úrad
Prešovský	Prešov	Lesíček		55	082 07	Tuhrina	051	779 01 32		"www.lesicek.ocu.sk;obec-lesicek.euweb.cz"		Ing. Martin Blihár			00327352	337	672	1402	0905 713 087	Obecný úrad
Banskobystrický	Revúca	Prihradzany	Prihradzany	7	049 14	Licince	058	448 25 09			obecngtr@stonline.sk	Milan Čipka			00328651	87	455	1262		Obecný úrad
Banskobystrický	Rimavská Sobota	Krokava	Krokava	4	982 67	Rovné	047	549 23 22			julius@rsnet.sk	Lukáš Remper  			00650081	29	1040	1427		Obecný úrad
Banskobystrický	Rimavská Sobota	Poproč	Poproč	12	982 67	Rovné	047	549 23 47			info@poproc.sk,podatelna@poproc.sk	Ľubor Kvaka			00649899	15	403	1413	0903 530 815	Obecný úrad
